iter: 0 ; error: 1.94047e-06; mutation: 1
iter: 10000 ; error: 6.13993e-07; mutation: 2942
iter: 20000 ; error: 4.23219e-07; mutation: 4280
iter: 30000 ; error: 3.48306e-07; mutation: 5112
iter: 40000 ; error: 3.15678e-07; mutation: 5651
iter: 50000 ; error: 2.96068e-07; mutation: 6048
iter: 60000 ; error: 2.83204e-07; mutation: 6336
iter: 70000 ; error: 2.73416e-07; mutation: 6581
iter: 80000 ; error: 2.66004e-07; mutation: 6789
iter: 90000 ; error: 2.59023e-07; mutation: 7007
iter: 100000 ; error: 2.53861e-07; mutation: 7166
iter: 110000 ; error: 2.49926e-07; mutation: 7305
iter: 120000 ; error: 2.46412e-07; mutation: 7411
iter: 130000 ; error: 2.44282e-07; mutation: 7504
iter: 140000 ; error: 2.42247e-07; mutation: 7586
iter: 150000 ; error: 2.40008e-07; mutation: 7681
iter: 160000 ; error: 2.38e-07; mutation: 7762
iter: 170000 ; error: 2.3653e-07; mutation: 7833
iter: 180000 ; error: 2.34971e-07; mutation: 7906
iter: 190000 ; error: 2.33454e-07; mutation: 7980
iter: 200000 ; error: 2.32458e-07; mutation: 8035
iter: 210000 ; error: 2.31082e-07; mutation: 8099
iter: 220000 ; error: 2.29985e-07; mutation: 8160
iter: 230000 ; error: 2.28874e-07; mutation: 8215
iter: 240000 ; error: 2.27789e-07; mutation: 8272
iter: 250000 ; error: 2.27222e-07; mutation: 8305
iter: 260000 ; error: 2.26692e-07; mutation: 8339
iter: 270000 ; error: 2.26129e-07; mutation: 8372
iter: 280000 ; error: 2.25648e-07; mutation: 8406
iter: 290000 ; error: 2.24947e-07; mutation: 8449
iter: 300000 ; error: 2.24473e-07; mutation: 8477
iter: 310000 ; error: 2.23986e-07; mutation: 8508
iter: 320000 ; error: 2.23438e-07; mutation: 8538
iter: 330000 ; error: 2.22778e-07; mutation: 8572
iter: 340000 ; error: 2.22074e-07; mutation: 8616
iter: 350000 ; error: 2.21861e-07; mutation: 8638
iter: 360000 ; error: 2.21495e-07; mutation: 8671
iter: 370000 ; error: 2.21176e-07; mutation: 8693
iter: 380000 ; error: 2.204e-07; mutation: 8729
iter: 390000 ; error: 2.19937e-07; mutation: 8752
iter: 400000 ; error: 2.19629e-07; mutation: 8778
iter: 410000 ; error: 2.19165e-07; mutation: 8802
iter: 420000 ; error: 2.18609e-07; mutation: 8835
iter: 430000 ; error: 2.18197e-07; mutation: 8862
