iter: 0 ; error: 3.40431e-06; mutation: 1
iter: 10000 ; error: 1.33341e-06; mutation: 2962
iter: 20000 ; error: 1.03403e-06; mutation: 4241
iter: 30000 ; error: 9.3625e-07; mutation: 4963
iter: 40000 ; error: 8.87474e-07; mutation: 5436
iter: 50000 ; error: 8.58298e-07; mutation: 5780
iter: 60000 ; error: 8.35883e-07; mutation: 6071
iter: 70000 ; error: 8.21705e-07; mutation: 6274
iter: 80000 ; error: 8.10576e-07; mutation: 6471
iter: 90000 ; error: 8.02034e-07; mutation: 6623
iter: 100000 ; error: 7.95538e-07; mutation: 6748
iter: 110000 ; error: 7.89212e-07; mutation: 6883
iter: 120000 ; error: 7.83392e-07; mutation: 7002
iter: 130000 ; error: 7.79025e-07; mutation: 7106
iter: 140000 ; error: 7.74377e-07; mutation: 7204
iter: 150000 ; error: 7.70269e-07; mutation: 7291
iter: 160000 ; error: 7.67496e-07; mutation: 7353
iter: 170000 ; error: 7.65312e-07; mutation: 7423
iter: 180000 ; error: 7.63028e-07; mutation: 7488
iter: 190000 ; error: 7.60638e-07; mutation: 7546
iter: 200000 ; error: 7.58677e-07; mutation: 7604
iter: 210000 ; error: 7.56965e-07; mutation: 7650
iter: 220000 ; error: 7.55015e-07; mutation: 7700
iter: 230000 ; error: 7.53722e-07; mutation: 7740
iter: 240000 ; error: 7.52004e-07; mutation: 7790
iter: 250000 ; error: 7.5083e-07; mutation: 7827
iter: 260000 ; error: 7.49704e-07; mutation: 7870
iter: 270000 ; error: 7.48641e-07; mutation: 7912
iter: 280000 ; error: 7.47496e-07; mutation: 7944
iter: 290000 ; error: 7.46442e-07; mutation: 7977
iter: 300000 ; error: 7.45661e-07; mutation: 8007
iter: 310000 ; error: 7.44736e-07; mutation: 8038
iter: 320000 ; error: 7.44076e-07; mutation: 8064
iter: 330000 ; error: 7.42695e-07; mutation: 8103
iter: 340000 ; error: 7.41561e-07; mutation: 8139
iter: 350000 ; error: 7.40749e-07; mutation: 8176
iter: 360000 ; error: 7.39662e-07; mutation: 8211
iter: 370000 ; error: 7.39188e-07; mutation: 8226
iter: 380000 ; error: 7.38589e-07; mutation: 8244
iter: 390000 ; error: 7.37722e-07; mutation: 8273
iter: 400000 ; error: 7.36949e-07; mutation: 8303
iter: 410000 ; error: 7.3647e-07; mutation: 8320
iter: 420000 ; error: 7.3575e-07; mutation: 8351
iter: 430000 ; error: 7.3521e-07; mutation: 8374
iter: 440000 ; error: 7.34574e-07; mutation: 8397
iter: 450000 ; error: 7.33936e-07; mutation: 8421
iter: 460000 ; error: 7.33374e-07; mutation: 8434
iter: 470000 ; error: 7.33111e-07; mutation: 8445
iter: 480000 ; error: 7.32235e-07; mutation: 8470
iter: 490000 ; error: 7.31413e-07; mutation: 8494
iter: 500000 ; error: 7.31064e-07; mutation: 8510
iter: 510000 ; error: 7.30632e-07; mutation: 8525
iter: 520000 ; error: 7.30148e-07; mutation: 8543
iter: 530000 ; error: 7.30012e-07; mutation: 8553
iter: 540000 ; error: 7.29662e-07; mutation: 8566
iter: 550000 ; error: 7.29385e-07; mutation: 8579
iter: 560000 ; error: 7.29079e-07; mutation: 8591
iter: 570000 ; error: 7.28686e-07; mutation: 8605
iter: 580000 ; error: 7.28382e-07; mutation: 8616
iter: 590000 ; error: 7.28005e-07; mutation: 8636
iter: 600000 ; error: 7.27546e-07; mutation: 8650
iter: 610000 ; error: 7.27315e-07; mutation: 8662
iter: 620000 ; error: 7.27065e-07; mutation: 8676
iter: 630000 ; error: 7.26635e-07; mutation: 8694
iter: 640000 ; error: 7.262e-07; mutation: 8705
iter: 650000 ; error: 7.25725e-07; mutation: 8724
iter: 660000 ; error: 7.25366e-07; mutation: 8737
iter: 670000 ; error: 7.24969e-07; mutation: 8750
iter: 680000 ; error: 7.24648e-07; mutation: 8761
iter: 690000 ; error: 7.24479e-07; mutation: 8772
iter: 700000 ; error: 7.24295e-07; mutation: 8780
iter: 710000 ; error: 7.24019e-07; mutation: 8792
iter: 720000 ; error: 7.23733e-07; mutation: 8804
iter: 730000 ; error: 7.23459e-07; mutation: 8817
iter: 740000 ; error: 7.23284e-07; mutation: 8828
iter: 750000 ; error: 7.23042e-07; mutation: 8840
iter: 760000 ; error: 7.22877e-07; mutation: 8844
iter: 770000 ; error: 7.22524e-07; mutation: 8857
iter: 780000 ; error: 7.22315e-07; mutation: 8864
iter: 790000 ; error: 7.22025e-07; mutation: 8874
iter: 800000 ; error: 7.21882e-07; mutation: 8882
iter: 810000 ; error: 7.21533e-07; mutation: 8900
iter: 820000 ; error: 7.21426e-07; mutation: 8909
iter: 830000 ; error: 7.21068e-07; mutation: 8923
iter: 840000 ; error: 7.20719e-07; mutation: 8937
iter: 850000 ; error: 7.20421e-07; mutation: 8952
iter: 860000 ; error: 7.20187e-07; mutation: 8967
iter: 870000 ; error: 7.20034e-07; mutation: 8978
iter: 880000 ; error: 7.19877e-07; mutation: 8989
iter: 890000 ; error: 7.19691e-07; mutation: 8997
iter: 900000 ; error: 7.19197e-07; mutation: 9006
iter: 910000 ; error: 7.19008e-07; mutation: 9012
iter: 920000 ; error: 7.18637e-07; mutation: 9022
iter: 930000 ; error: 7.18498e-07; mutation: 9028
iter: 940000 ; error: 7.18306e-07; mutation: 9041
iter: 950000 ; error: 7.18182e-07; mutation: 9050
iter: 960000 ; error: 7.18023e-07; mutation: 9059
iter: 970000 ; error: 7.17806e-07; mutation: 9068
iter: 980000 ; error: 7.17722e-07; mutation: 9073
iter: 990000 ; error: 7.17674e-07; mutation: 9077
iter: 1000000 ; error: 7.17591e-07; mutation: 9083
