iter: 0 ; error: 3.38496e-06; mutation: 1
iter: 10000 ; error: 1.32927e-06; mutation: 2963
iter: 20000 ; error: 1.03636e-06; mutation: 4212
iter: 30000 ; error: 9.29972e-07; mutation: 4974
iter: 40000 ; error: 8.81939e-07; mutation: 5467
iter: 50000 ; error: 8.55441e-07; mutation: 5797
iter: 60000 ; error: 8.36577e-07; mutation: 6064
iter: 70000 ; error: 8.19984e-07; mutation: 6294
iter: 80000 ; error: 8.05389e-07; mutation: 6518
iter: 90000 ; error: 7.96741e-07; mutation: 6673
iter: 100000 ; error: 7.88562e-07; mutation: 6813
iter: 110000 ; error: 7.8248e-07; mutation: 6946
iter: 120000 ; error: 7.76794e-07; mutation: 7070
iter: 130000 ; error: 7.72153e-07; mutation: 7163
iter: 140000 ; error: 7.6829e-07; mutation: 7252
iter: 150000 ; error: 7.6501e-07; mutation: 7324
iter: 160000 ; error: 7.62798e-07; mutation: 7390
iter: 170000 ; error: 7.59977e-07; mutation: 7469
iter: 180000 ; error: 7.5735e-07; mutation: 7537
iter: 190000 ; error: 7.55708e-07; mutation: 7582
iter: 200000 ; error: 7.53762e-07; mutation: 7635
iter: 210000 ; error: 7.52002e-07; mutation: 7686
iter: 220000 ; error: 7.50154e-07; mutation: 7733
iter: 230000 ; error: 7.48371e-07; mutation: 7788
iter: 240000 ; error: 7.46669e-07; mutation: 7837
iter: 250000 ; error: 7.44836e-07; mutation: 7887
iter: 260000 ; error: 7.43446e-07; mutation: 7925
iter: 270000 ; error: 7.42491e-07; mutation: 7960
iter: 280000 ; error: 7.4144e-07; mutation: 8001
iter: 290000 ; error: 7.40007e-07; mutation: 8034
iter: 300000 ; error: 7.38984e-07; mutation: 8061
iter: 310000 ; error: 7.38511e-07; mutation: 8080
iter: 320000 ; error: 7.37759e-07; mutation: 8105
iter: 330000 ; error: 7.36897e-07; mutation: 8140
iter: 340000 ; error: 7.36066e-07; mutation: 8167
iter: 350000 ; error: 7.34748e-07; mutation: 8199
iter: 360000 ; error: 7.34044e-07; mutation: 8229
iter: 370000 ; error: 7.33689e-07; mutation: 8252
iter: 380000 ; error: 7.3249e-07; mutation: 8288
iter: 390000 ; error: 7.32023e-07; mutation: 8305
iter: 400000 ; error: 7.31562e-07; mutation: 8321
iter: 410000 ; error: 7.31215e-07; mutation: 8337
iter: 420000 ; error: 7.3046e-07; mutation: 8361
iter: 430000 ; error: 7.30209e-07; mutation: 8374
iter: 440000 ; error: 7.29603e-07; mutation: 8392
iter: 450000 ; error: 7.28817e-07; mutation: 8415
iter: 460000 ; error: 7.28284e-07; mutation: 8437
iter: 470000 ; error: 7.27664e-07; mutation: 8463
iter: 480000 ; error: 7.2704e-07; mutation: 8485
iter: 490000 ; error: 7.2669e-07; mutation: 8500
iter: 500000 ; error: 7.26111e-07; mutation: 8522
iter: 510000 ; error: 7.25739e-07; mutation: 8537
iter: 520000 ; error: 7.25263e-07; mutation: 8557
iter: 530000 ; error: 7.24693e-07; mutation: 8575
iter: 540000 ; error: 7.24184e-07; mutation: 8592
iter: 550000 ; error: 7.23745e-07; mutation: 8613
iter: 560000 ; error: 7.23431e-07; mutation: 8627
iter: 570000 ; error: 7.22974e-07; mutation: 8637
iter: 580000 ; error: 7.22548e-07; mutation: 8648
iter: 590000 ; error: 7.2218e-07; mutation: 8666
iter: 600000 ; error: 7.21955e-07; mutation: 8676
iter: 610000 ; error: 7.21419e-07; mutation: 8692
iter: 620000 ; error: 7.21009e-07; mutation: 8704
iter: 630000 ; error: 7.20666e-07; mutation: 8715
iter: 640000 ; error: 7.20373e-07; mutation: 8730
iter: 650000 ; error: 7.20041e-07; mutation: 8746
iter: 660000 ; error: 7.19608e-07; mutation: 8761
iter: 670000 ; error: 7.19389e-07; mutation: 8772
iter: 680000 ; error: 7.19198e-07; mutation: 8783
iter: 690000 ; error: 7.19082e-07; mutation: 8791
iter: 700000 ; error: 7.1898e-07; mutation: 8798
iter: 710000 ; error: 7.18654e-07; mutation: 8810
iter: 720000 ; error: 7.18432e-07; mutation: 8819
iter: 730000 ; error: 7.18304e-07; mutation: 8827
iter: 740000 ; error: 7.18171e-07; mutation: 8837
iter: 750000 ; error: 7.17844e-07; mutation: 8847
iter: 760000 ; error: 7.17632e-07; mutation: 8857
iter: 770000 ; error: 7.17444e-07; mutation: 8864
iter: 780000 ; error: 7.17292e-07; mutation: 8871
iter: 790000 ; error: 7.17105e-07; mutation: 8882
iter: 800000 ; error: 7.17036e-07; mutation: 8889
iter: 810000 ; error: 7.16856e-07; mutation: 8897
iter: 820000 ; error: 7.16656e-07; mutation: 8904
iter: 830000 ; error: 7.16504e-07; mutation: 8916
iter: 840000 ; error: 7.16358e-07; mutation: 8924
iter: 850000 ; error: 7.16147e-07; mutation: 8934
iter: 860000 ; error: 7.15999e-07; mutation: 8945
iter: 870000 ; error: 7.15804e-07; mutation: 8954
iter: 880000 ; error: 7.15743e-07; mutation: 8957
iter: 890000 ; error: 7.15662e-07; mutation: 8963
iter: 900000 ; error: 7.15403e-07; mutation: 8975
iter: 910000 ; error: 7.15337e-07; mutation: 8980
iter: 920000 ; error: 7.15139e-07; mutation: 8989
iter: 930000 ; error: 7.14976e-07; mutation: 8999
iter: 940000 ; error: 7.1467e-07; mutation: 9011
iter: 950000 ; error: 7.14451e-07; mutation: 9020
