iter: 0 ; error: 3.47111e-06; mutation: 1
iter: 10000 ; error: 1.35881e-06; mutation: 2987
iter: 20000 ; error: 1.05868e-06; mutation: 4261
iter: 30000 ; error: 9.59726e-07; mutation: 4991
iter: 40000 ; error: 9.04465e-07; mutation: 5499
iter: 50000 ; error: 8.71576e-07; mutation: 5870
iter: 60000 ; error: 8.51432e-07; mutation: 6138
iter: 70000 ; error: 8.36798e-07; mutation: 6369
iter: 80000 ; error: 8.23875e-07; mutation: 6544
iter: 90000 ; error: 8.14636e-07; mutation: 6715
iter: 100000 ; error: 8.08088e-07; mutation: 6844
iter: 110000 ; error: 8.00462e-07; mutation: 6990
iter: 120000 ; error: 7.95141e-07; mutation: 7100
iter: 130000 ; error: 7.91122e-07; mutation: 7183
iter: 140000 ; error: 7.87404e-07; mutation: 7266
iter: 150000 ; error: 7.8354e-07; mutation: 7350
iter: 160000 ; error: 7.80818e-07; mutation: 7418
iter: 170000 ; error: 7.78692e-07; mutation: 7472
iter: 180000 ; error: 7.7645e-07; mutation: 7526
iter: 190000 ; error: 7.74059e-07; mutation: 7595
iter: 200000 ; error: 7.71801e-07; mutation: 7652
iter: 210000 ; error: 7.69626e-07; mutation: 7703
iter: 220000 ; error: 7.67951e-07; mutation: 7758
iter: 230000 ; error: 7.66297e-07; mutation: 7797
iter: 240000 ; error: 7.65072e-07; mutation: 7832
iter: 250000 ; error: 7.63821e-07; mutation: 7870
iter: 260000 ; error: 7.6263e-07; mutation: 7906
iter: 270000 ; error: 7.60988e-07; mutation: 7953
iter: 280000 ; error: 7.60047e-07; mutation: 7980
iter: 290000 ; error: 7.58828e-07; mutation: 8018
iter: 300000 ; error: 7.5812e-07; mutation: 8047
iter: 310000 ; error: 7.56702e-07; mutation: 8083
iter: 320000 ; error: 7.55461e-07; mutation: 8121
iter: 330000 ; error: 7.54344e-07; mutation: 8155
iter: 340000 ; error: 7.53627e-07; mutation: 8180
iter: 350000 ; error: 7.52724e-07; mutation: 8202
iter: 360000 ; error: 7.52038e-07; mutation: 8222
iter: 370000 ; error: 7.51372e-07; mutation: 8242
iter: 380000 ; error: 7.50702e-07; mutation: 8263
iter: 390000 ; error: 7.49948e-07; mutation: 8289
iter: 400000 ; error: 7.491e-07; mutation: 8312
iter: 410000 ; error: 7.48578e-07; mutation: 8336
iter: 420000 ; error: 7.47921e-07; mutation: 8357
iter: 430000 ; error: 7.47439e-07; mutation: 8375
iter: 440000 ; error: 7.46532e-07; mutation: 8408
iter: 450000 ; error: 7.45778e-07; mutation: 8431
iter: 460000 ; error: 7.45168e-07; mutation: 8452
iter: 470000 ; error: 7.44865e-07; mutation: 8470
iter: 480000 ; error: 7.44444e-07; mutation: 8485
iter: 490000 ; error: 7.4402e-07; mutation: 8501
iter: 500000 ; error: 7.43288e-07; mutation: 8531
iter: 510000 ; error: 7.42422e-07; mutation: 8552
iter: 520000 ; error: 7.41882e-07; mutation: 8576
iter: 530000 ; error: 7.41375e-07; mutation: 8598
iter: 540000 ; error: 7.4094e-07; mutation: 8622
iter: 550000 ; error: 7.40596e-07; mutation: 8638
iter: 560000 ; error: 7.40129e-07; mutation: 8653
iter: 570000 ; error: 7.39607e-07; mutation: 8664
iter: 580000 ; error: 7.39441e-07; mutation: 8676
iter: 590000 ; error: 7.3924e-07; mutation: 8685
iter: 600000 ; error: 7.38603e-07; mutation: 8704
iter: 610000 ; error: 7.38238e-07; mutation: 8722
iter: 620000 ; error: 7.37764e-07; mutation: 8740
iter: 630000 ; error: 7.37199e-07; mutation: 8756
iter: 640000 ; error: 7.36949e-07; mutation: 8768
iter: 650000 ; error: 7.36597e-07; mutation: 8781
iter: 660000 ; error: 7.36329e-07; mutation: 8788
iter: 670000 ; error: 7.36011e-07; mutation: 8797
iter: 680000 ; error: 7.35645e-07; mutation: 8809
iter: 690000 ; error: 7.35188e-07; mutation: 8824
iter: 700000 ; error: 7.35003e-07; mutation: 8831
iter: 710000 ; error: 7.34836e-07; mutation: 8842
iter: 720000 ; error: 7.3449e-07; mutation: 8852
iter: 730000 ; error: 7.3429e-07; mutation: 8860
iter: 740000 ; error: 7.3395e-07; mutation: 8872
iter: 750000 ; error: 7.33914e-07; mutation: 8876
iter: 760000 ; error: 7.33622e-07; mutation: 8887
iter: 770000 ; error: 7.33488e-07; mutation: 8898
iter: 780000 ; error: 7.33182e-07; mutation: 8910
iter: 790000 ; error: 7.33082e-07; mutation: 8915
iter: 800000 ; error: 7.32957e-07; mutation: 8924
iter: 810000 ; error: 7.32832e-07; mutation: 8930
iter: 820000 ; error: 7.32679e-07; mutation: 8937
iter: 830000 ; error: 7.32561e-07; mutation: 8944
iter: 840000 ; error: 7.32261e-07; mutation: 8953
iter: 850000 ; error: 7.32123e-07; mutation: 8956
iter: 860000 ; error: 7.31952e-07; mutation: 8962
iter: 870000 ; error: 7.31781e-07; mutation: 8968
iter: 880000 ; error: 7.3156e-07; mutation: 8977
iter: 890000 ; error: 7.31397e-07; mutation: 8982
iter: 900000 ; error: 7.31294e-07; mutation: 8987
iter: 910000 ; error: 7.31072e-07; mutation: 8996
iter: 920000 ; error: 7.30868e-07; mutation: 9008
iter: 930000 ; error: 7.30832e-07; mutation: 9011
iter: 940000 ; error: 7.30591e-07; mutation: 9021
iter: 950000 ; error: 7.30454e-07; mutation: 9027
iter: 960000 ; error: 7.3032e-07; mutation: 9036
iter: 970000 ; error: 7.30197e-07; mutation: 9043
iter: 980000 ; error: 7.30027e-07; mutation: 9050
iter: 990000 ; error: 7.2975e-07; mutation: 9060
iter: 1000000 ; error: 7.29619e-07; mutation: 9067
